#OTU ID	W1_CLT_1	W1_CLT_2	W1_CLT_3	W1_CLT_4	W1_CLT_5	W1_DSS_1	W1_DSS_2	W1_DSS_3	W1_DSS_4	W1_DSS_5	W1_LbGP_1	W1_LbGP_2	W1_LbGP_3	W1_LbGP_4	W1_LbGP_5	W2_CLT_1	W2_CLT_2	W2_CLT_3	W2_CLT_4	W2_CLT_5	W2_DSS_1	W2_DSS_2	W2_DSS_3	W2_DSS_4	W2_DSS_5	W2_LbGP_1	W2_LbGP_2	W2_LbGP_3	W2_LbGP_4	W2_LbGP_5	W3_CLT_1	W3_CLT_2	W3_CLT_3	W3_CLT_4	W3_CLT_5	W3_DSS_1	W3_DSS_2	W3_DSS_3	W3_DSS_4	W3_DSS_5	W3_LbGP_1	W3_LbGP_2	W3_LbGP_3	W3_LbGP_4	W3_LbGP_5
ASV_12333	1	3	0	2	3	0	0	1	0	0	1	2	0	0	0	4	0	6	0	17	2	2	2	3	3	0	0	0	0	0	130	40	0	78	5	0	55	3	3	6	69	102	3	13	5
ASV_676	6	0	8	7	1	0	2	0	0	0	0	0	0	0	0	11	3	0	0	1	1	0	0	1	0	0	4	1	11	0	2	0	18	7	8	0	2	0	3	1	12	14	9	23	11
ASV_9201	3	1	2	1	2	6	1	0	3	1	0	6	0	0	2	0	7	3	3	11	7	9	13	3	1	7	3	4	8	3	43	5	2	3	1	1	2	1	7	1	4	2	6	16	9
ASV_4974	14	1	3	7	0	0	2	0	0	0	0	0	0	1	0	70	0	37	7	60	0	0	0	0	1	0	0	2	4	0	1	2	306	6	182	0	4	1	1	0	4	8	16	56	10
ASV_1502	2	2	2	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	0	1	0	0	1	3	1	0
ASV_914	3	0	2	9	0	1	1	1	0	0	1	1	4	1	2	2	3	1	3	4	0	0	0	0	0	10	4	2	0	0	2	7	1	0	0	0	0	6	0	0	3	0	1	1	1
ASV_9824	1	17	0	0	51	0	0	0	1	20	0	6	1	1	0	7	0	0	1	0	0	0	0	0	0	2	0	0	0	0	6	0	2	0	0	0	6	11	0	0	0	4	0	2	5
ASV_1708	1	2	0	0	2	0	0	3	0	2	0	2	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
ASV_2556	1	1	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0	0	0	2	0	4	3	0	1	1
ASV_575	3	18	9	33	14	8	402	315	1199	167	1419	658	243	93	123	16	10	28	23	40	235	119	161	65	83	43	37	120	65	55	3	2	7	3	20	246	7	6	11	223	2	5	1	7	3
ASV_478	5	3	5	2	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	3	0	2	0	0	0	0	1	4	1	1	1	0
ASV_2265	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	1	2
ASV_9906	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_356	10	24	12	82	12	17	836	572	2548	312	2874	1232	510	145	262	48	4	57	42	92	420	239	294	97	151	106	127	213	108	82	7	4	20	12	12	395	7	3	8	313	11	10	4	13	9
ASV_427	2	0	1	1	1	0	0	0	0	3	0	3	0	1	0	3	0	0	1	0	0	0	0	0	1	0	1	0	1	0	1	0	2	0	0	1	0	0	0	2	3	5	1	2	2
ASV_5030	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1939	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
ASV_2705	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2096	2	1	0	1	1	0	0	1	0	2	0	2	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	2	0	3	1	1	5	4
ASV_10416	2	0	2	3	1	8	0	2	1	0	5	0	1	0	0	0	7	3	0	2	3	0	1	1	0	0	2	7	0	7	0	7	2	3	0	2	7	0	12	7	12	3	47	14	21
ASV_8715	10	6	29	33	7	6	2	0	0	1	3	4	2	2	3	2	34	6	2	5	0	0	0	0	6	4	12	10	1	20	12	38	8	8	5	2	22	25	5	2	7	10	27	5	2
ASV_1031	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	2	0	0	0	0	0	0	0	0	0	0	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0
ASV_1567	1	3	1	2	13	495	313	135	314	236	316	672	39	308	89	9	42	4	9	10	0	0	1	0	0	132	58	19	24	22	0	0	0	0	0	8	43	46	1	2	0	1	15	3	3
ASV_1413	3	1	0	2	2	0	0	0	0	0	0	0	0	1	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	1	0	0	7	0	3	2	4
ASV_8548	1	2	3	0	0	5	9	0	0	0	3	0	7	7	1	0	1	0	4	4	1	2	1	1	3	1	0	1	0	0	0	63	1	0	0	0	7	5	0	0	1	2	0	1	1
ASV_12398	5	4	7	0	2	0	0	0	0	0	1	0	0	3	0	1	0	0	1	0	0	0	0	0	0	0	2	0	2	0	8	0	1	0	0	0	0	0	0	0	54	27	0	23	0
ASV_6658	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_4773	8	18	4	17	58	0	6	2	3	0	11	9	7	10	3	2	0	2	20	4	1	0	0	0	2	0	10	8	8	18	1	0	2	21	12	11	74	29	6	19	10	10	8	2	10
ASV_10514	1	13	0	0	3	0	0	0	0	0	0	0	0	0	0	4	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	3	7	32	1	0	3	8	0	0	0	19	6	11	0
ASV_8032	3	0	4	0	2	0	0	0	0	1	0	0	0	0	0	2	0	1	10	5	0	0	0	0	1	0	1	1	1	2	5	25	5	9	9	1	11	2	7	0	3	12	25	6	5
ASV_2213	1	8	1	4	8	402	248	89	208	172	264	520	46	243	60	1	45	3	3	11	0	0	0	0	0	103	36	15	18	13	1	0	0	1	1	3	25	34	0	0	0	0	23	1	0
ASV_8286	6	0	0	0	33	4	0	0	2	0	2	0	1	1	0	23	0	7	0	0	0	0	0	0	0	0	4	1	0	0	6	6	0	16	0	0	2	0	1	0	178	55	19	48	27
ASV_2186	5	40	219	6	200	5	0	1	0	1	1	0	1	4	3	11	5	19	0	10	0	2	1	2	0	4	13	1	2	0	120	39	92	1	5	7	2	11	22	1	46	19	12	4	5
ASV_1658	5	3	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	2	1	0	0	0	0	0	0	0	2	2	0	0	0	0	3	1	1	0	0	5	5	0	4	4	3	2	2
ASV_154	2	0	1	0	0	1	10	2	11	3	5	5	13	12	9	2	0	0	0	2	10	9	9	17	5	2	0	5	1	2	0	0	2	1	2	16	0	0	1	42	4	0	0	0	1
ASV_568	2	0	0	1	0	0	0	3	0	1	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0
ASV_3623	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1
ASV_1214	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	4	6	0	2	3	1	3	7	0
ASV_1711	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	2	0	0	0	0	4	2	0	1	0	0	2	0	2	0	7	0	5	2	0
ASV_11371	7	1	1	2	0	2	1	0	1	0	1	0	2	0	2	0	5	0	4	7	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	0	0	5	7	0	0	3	16	9	1
ASV_263	3	0	8	16	0	4	2	1	0	0	4	10	1	10	7	7	0	12	1	25	0	0	0	0	0	31	16	1	1	0	12	31	3	2	1	0	1	11	1	0	3	1	12	9	7
ASV_6970	13	10	6	5	2	15	0	18	2	32	2	7	0	28	1	7	10	7	1	8	0	0	2	0	5	5	8	5	1	0	6	91	1	11	2	2	11	9	8	0	6	23	34	12	31
ASV_3322	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_5495	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	1
ASV_5107	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_706	4	3	9	9	4	0	1	1	0	4	0	1	0	0	0	8	1	5	1	4	0	0	0	0	1	2	6	1	4	2	5	0	1	1	6	1	3	0	0	0	5	8	3	4	4
ASV_11205	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_3183	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	3	0	0	2	0	0	0	1	0	3	0	0	5	3	2	1	0	0	1	0	0	0	0	0	0	0	0	1	0	2
ASV_12992	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_10136	3	1	0	0	1	6	4	1	0	0	3	0	3	1	1	0	1	1	2	2	0	2	1	0	0	1	0	1	0	0	0	36	1	0	0	2	1	7	0	0	0	2	3	1	3
ASV_1652	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_403	3	5	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	4	20	3	1	0	0	0	0	0	0	3	5	1	3	0
ASV_984	4	1	0	0	1	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0	3	0	0	0	0	1	0	0	1	0	0
ASV_6668	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_2095	1	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	555	232	82	92	91	0	0	0	0	0	7	4	12	22	16	807	8	18	14	512	8	4	6	10	3
ASV_1754	1	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	1
ASV_2387	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_168	1	0	0	0	0	0	0	0	1	0	0	1	0	4	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_9877	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	2	1	1	1
ASV_9591	2	3	2	9	0	2	1	1	2	2	0	0	0	1	0	8	0	26	2	36	0	0	0	0	0	6	13	5	26	6	2	1	15	19	8	0	7	0	18	0	20	3	3	14	0
ASV_975	1	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ASV_1170	3	3	4	2	3	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	1	0	0	1	1	2	0	1
ASV_4475	4	1	20	0	0	2	7	0	7	1	1	12	27	19	29	0	22	0	0	0	0	0	0	0	1	0	7	43	3	13	1	16	3	3	9	22	2	1	1	17	10	34	199	40	22
