function	W1_CLT_1_tags	W1_CLT_2_tags	W1_CLT_3_tags	W1_CLT_4_tags	W1_CLT_5_tags	W1_DSS_1_tags	W1_DSS_2_tags	W1_DSS_3_tags	W1_DSS_4_tags	W1_DSS_5_tags	W1_LbGP_1_tags	W1_LbGP_2_tags	W1_LbGP_3_tags	W1_LbGP_4_tags	W1_LbGP_5_tags	W2_CLT_1_tags	W2_CLT_2_tags	W2_CLT_3_tags	W2_CLT_4_tags	W2_CLT_5_tags	W2_DSS_1_tags	W2_DSS_2_tags	W2_DSS_3_tags	W2_DSS_4_tags	W2_DSS_5_tags	W2_LbGP_1_tags	W2_LbGP_2_tags	W2_LbGP_3_tags	W2_LbGP_4_tags	W2_LbGP_5_tags	W3_CLT_1_tags	W3_CLT_2_tags	W3_CLT_3_tags	W3_CLT_4_tags	W3_CLT_5_tags	W3_DSS_1_tags	W3_DSS_2_tags	W3_DSS_3_tags	W3_DSS_4_tags	W3_DSS_5_tags	W3_LbGP_1_tags	W3_LbGP_2_tags	W3_LbGP_3_tags	W3_LbGP_4_tags	W3_LbGP_5_tags
RXN-12402	1217.5	906.09	2212.66	5606.34	663.34	20211.0	28618.5	28737.59	33458.25	4854.59	13064.16	27269.09	71465.66	34220.5	59151.91	7196.5	617.75	15781.41	9220.41	14858.25	50006.59	42826.41	50564.25	43988.16	17049.59	5260.0	6068.0	18784.16	4393.91	14013.75	1180.84	784.5	5639.84	790.5	3401.84	10825.0	1660.0	1256.84	3814.16	18431.91	2837.66	1843.84	4242.91	1298.0	4448.75
RXN-12430	2818.5	888.67	2104.08	3662.42	730.67	9155.75	18364.5	3521.42	19921.5	940.17	6426.58	3798.67	10843.33	9782.25	13480.83	1920.0	939.25	3152.33	498.08	2362.5	7445.42	7938.83	8742.75	10377.58	2420.67	1628.25	2016.75	2392.08	1845.83	1275.0	952.67	361.75	2940.17	1423.5	2202.67	10147.75	724.25	292.67	499.58	17597.33	1550.58	3286.92	3204.58	4616.0	2601.75
RXN-12444	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
RXN-12445	154.0	125.67	96.33	146.67	92.67	6745.0	8605.0	391.67	9034.0	73.67	1460.33	2441.67	3282.33	3204.0	3865.33	66.0	104.0	2759.33	69.33	1733.0	145.67	820.33	475.0	1317.33	171.67	638.0	267.0	171.33	140.33	195.0	7.67	10.0	11.67	12.0	10.67	108.0	29.0	16.67	10.33	48.33	14.33	9.67	9.33	8.0	7.0
RXN-12448	32958.17	68188.51	21971.74	21903.42	6172.67	22434.42	25268.5	19142.92	29966.0	7726.67	25201.91	16396.84	28045.66	25095.25	26620.99	38328.67	43213.42	28647.83	55714.91	30211.33	19579.26	25641.66	24565.25	23944.24	15052.51	22042.58	22144.42	26288.74	11268.66	28175.5	13874.67	31037.08	16638.510000000002	27972.83	8435.67	14753.75	6695.92	19409.67	8225.58	7725.83	11549.58	8078.92	23385.08	15473.0	29204.92
RXN-12458	16498.17	23559.09	10085.41	15219.75	2700.0	13088.92	23511.0	17004.25	27052.5	5587.5	17731.83	10360.42	24451.83	20204.5	25580.41	19092.17	16910.42	15475.25	23767.33	16977.33	21707.09	23872.58	27042.75	25241.66	11044.84	11751.08	11538.67	12426.41	6546.33	11767.5	6927.5	17031.08	10119.09	11028.08	6306.0	18370.5	3443.67	8095.5	4872.0	24034.0	6143.25	6274.25	16391.75	11009.5	15109.67
RXN-12460	16498.17	23559.09	10085.41	15219.75	2700.0	13088.92	23511.0	17004.25	27052.5	5587.5	17731.83	10360.42	24451.83	20204.5	25580.41	19092.17	16910.42	15475.25	23767.33	16977.33	21707.09	23872.58	27042.75	25241.66	11044.84	11751.08	11538.67	12426.41	6546.33	11767.5	6927.5	17031.08	10119.09	11028.08	6306.0	18370.5	3443.67	8095.5	4872.0	24034.0	6143.25	6274.25	16391.75	11009.5	15109.67
RXN-12462	11728.17	22506.67	7288.33	10944.33	1841.33	2822.17	1743.0	10379.58	3373.75	3607.08	7292.75	3150.0	2079.5	5378.75	2887.33	15934.67	13614.42	11566.17	21280.5	13606.58	6279.42	8811.0	9581.75	6816.58	4529.92	8482.83	8660.92	7819.83	3896.25	8776.75	5336.33	14378.83	6171.42	8876.08	2582.83	3240.75	2341.42	7394.33	3249.92	759.42	4058.67	2090.83	7180.92	5761.5	10952.17
RXN-12463	11728.17	22506.67	7288.33	10944.33	1841.33	2822.17	1743.0	10379.58	3373.75	3607.08	7292.75	3150.0	2079.5	5378.75	2887.33	15934.67	13614.42	11566.17	21280.5	13606.58	6279.42	8811.0	9581.75	6816.58	4529.92	8482.83	8660.92	7819.83	3896.25	8776.75	5336.33	14378.83	6171.42	8876.08	2582.83	3240.75	2341.42	7394.33	3249.92	759.42	4058.67	2090.83	7180.92	5761.5	10952.17
RXN-12472	9067.5	22465.0	7068.0	8024.0	1820.0	2705.5	1554.0	1324.25	2468.75	1946.75	5541.75	3014.0	1408.5	4089.75	1636.0	13661.0	13596.75	11142.5	20741.5	13429.25	184.75	2167.0	394.75	1471.25	3262.25	8421.5	8066.25	7760.5	3830.25	8730.75	5195.0	13440.5	6024.75	8785.75	2469.5	3168.75	2258.75	7321.0	3180.25	654.75	3948.0	1834.5	6451.25	3746.5	10104.5
